name,description,image_name,category,brand
"Finish Ultimate Pro Dishwasher Tablets Lemon 46 Pack","Finish Ultimate Pro Dishwashing Tablets Lemon Sparkle is all in 1 and can remove stubborn 24 hour dried-on stains. Includes ACTIVELIFT technology. Ultimate clean, diamond shine, care & protect (contains agents known to help protect glasses against corrosion and clouding. This product does not protect from mechanical damage or restore already damaged items).","finish_ultimate_pro_lemon_46pk.jpg","Household","Finish"
"Finish Rinse & Shine Aid Liquid Regular 500ml","Your dishwasher might leave your dishes wet and your glasses covered with spots. Finish Rinse and Shine Aid provides 2x better drying* and fights water spots on your dishes and glasses.Its glass protection formula helps protect your glasses from becoming cloudy for a long-lasting sparkling shine. Try Finish Rinse and Shine Aid added to your next dishwasher cycle.","finish_rinse_and_shine_aid_500ml.jpg","Household","Finish"
"Finish Concentrated Dishwasher Powder Classic Lemon Sparkle 2kg","Finish Concentrated Powder Classic Lemon Sparkle is phosphate-free and cuts through grease to give a trusted clean.","finish_classic_lemon_sparkle_2kg.jpg","Household","Finish"
"Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 95 Pack","Kleenex Aloe Vera & Vitamin E tissues feature Softcoat® Lotion Technology, carefully coated with natural Aloe Vera and Vitamin E to help soothe your skin.","kleenex_aloe_vera_e3_95pk.jpg","Household","Kleenex"
"Kleenex Everyday 2 Ply Facial Tissues 200 Pack","Kleenex Everyday Tissues are made in Australia for everyday laughs, tears, sniffles & family moments.","kleenex_facial_tissues_200pk.jpg","Household","Kleenex"
"Kleenex Large & Thick 3 Ply Facial Tissues 95 Pack","Kleenex Large & Thick Tissues are made in Australia for everyday laughs, tears, sniffles & family moments.","kleenex_large_thick_95pk.jpg","Household","Kleenex"
"Huggies Thick Baby Wipes Fragrance Free 80 Pack","When it comes to caring for your skin baby, all you need is your parent’s loving touch and a bit of help from Huggies Thick Baby Wipes. Created with natural fibres* and the ultimate combination of thickness, softness and absorbency for a 3 in 1 complete clean.","huggies_fragrance_free_80pk.jpg","Baby","Huggies"
"Huggies Thick Baby Wipes Coconut Oil 80 Pack","Trust us baby, things will get messy. Huggies Thick Baby Wipes Coconut Oil gently traps mess with 1 wipe. Designed with 90% natural ingredients^ and the ultimate combination of thickness, softness and absorbency for a 3 in 1 complete clean that ensures nothing is left behind on your delicate skin. ^based on formulation and base sheet components.","huggies_coconut_oil_80pk.jpg","Baby","Huggies"
"Huggies Thick Baby Wipes Cucumber & Aloe 80 Pack","Trust us baby, things will get messy. Huggies Thick Baby Wipes Cucumber & Aloe gently traps mess with 1 wipe. Designed with 90% natural ingredients^ and the ultimate combination of thickness, softness and absorbency for a 3 in 1 complete clean that ensures nothing is left behind on your delicate skin. ^based on formulation and base sheet components.","huggies_cucumber_aloe_80pk.jpg","Baby","Huggies"
"A2 Full Cream Milk 2l","a2 Milk Full Cream is sourced from Australian dairy farmers and made with 100% Australian pure & natural milk from cows specially selected to produce milk with only the A2 beta-casein protein. a2Milk Full Cream, delicious and creamy milk contains just 4g of fat per 100ml. It can be enjoyed by the whole family, from young children starting to drink cow’s milk, to the elderly. It’s completely natural & the way milk is meant to be. Feel the a2Milk difference - Naturally A1 protein free; No additives, no permeate; Made in Australia from 100% Australian ingredients","a2_full_cream_2l.jpg","Dairy, Eggs & Fridge","A2"
"A2 Light Milk 2l","a2 Milk Light is sourced from Australian dairy farmers and made with 100% Australian pure & natural milk from cows specially selected to produce milk with only the A2 beta-casein protein. a2 Milk Light contains only 1.3g of fat per 100ml and is a natural lower in fat alternative to full cream, with a creamy and smooth consistency. It’s completely natural & the way milk is meant to be. Feel the a2 Milk difference - Naturally A1 protein free; No additives, No permeate; Made in Australia from 100% Australian ingredients.","a2_light_2l.jpg","Dairy, Eggs & Fridge","A2"
"A2 Milk Lactose Free Light Milk 2l","Fresh a2 Milk now available in Lactose Free for those who are medically diagnosed lactose intolerant, or for those who prefer to have a lactose free option. Sourced from Australian dairy farmers and made with 100% Australian pure & natural milk from cows specially selected to produce milk with only the A2 beta-casein protein.","a2_lactose_free_light_2l.jpg","Dairy, Eggs & Fridge","A2"
"Vip Chunkers With Beef, Peas & Carrot 1kg","V.I.P Petfood is built on three generations of commitment to pet food & pet welfare. Packed with quality Australian proteins, it's for the Very Important Pets in your life.","vip_beef_peas_carrot_1kg.jpg","Pet","VIP"
"Vip Paws Adult Chilled Fresh Dog & Cat Food Mince 1kg","V.I.P Petfood is built on three generations of commitment to pet food & pet welfare. Packed with quality Australian proteins, it's for the Very Important Pets in your life.","vip_paws_dog_cat_food_mince_1kg.jpg","Pet","VIP"
"Vip Paws Adult Chilled Fresh Dog & Cat Food Chicken Mince 1kg","V.I.P Petfood is built on three generations of commitment to pet food & pet welfare. Packed with quality Australian proteins, it's for the Very Important Pets in your life.","vip_dog_cat_food_chicken_mince_1kg.jpg","Pet","VIP"
"Asahi Super Dry Lager Bottles 330ml X24 Case","N/A","asahi_super_dry_330mlx24.jpg","Liquor","Asahi"
"Asahi Super Dry 0% Bottles 330ml X 6 Pack","Made in Italy","asahi_super_dry_0%_330mlx6.jpg","Liquor","Asahi"
"Asahi Super Dry Lager Bottles 330ml X 6 Pack","N/A","asahi_super_dry_330mlx6.jpg","Liquor","Asahi"
"Bundaberg Underproof Rum 700ml","Bundaberg Rum Underproof is an Aussie classic. It's made from 100% Queensland sugar cane and aged for a minimum of two years, it's been a much loved rum in Australia since it was first produced in 1888.","bundaberg_underproof_rum_700ml.jpg","Liquor","Bundaberg"
"Bundaberg Sparkling Passionfruit Drink 375ml X4 Pack","Bundaberg Passionfruit is brewed over 2 days using real Passionfruit. True to the fruit, this brew tastes like drinking a Passionfruit without the pips! Enjoyed for its enticing smell as much as its taste, we bet you could taste test this flavour blindfolded and know exactly what the brew is.","bundaberg_sparkling_passionfruit_375mlx4.jpg","Drinks","Bundaberg"
"Bundaberg Sparkling Guava Sparkling Drink 375ml X4 Pack","Craft brewed over 2 days using the real fruit, Bundaberg Guava is a delightful sweet treat with an amazing aroma - be sure to smell it before you sip. Hold the bottle up to the light and you'll see pieces of fresh guava suspended inside, be sure to invert the bottle before opening to mix the real fruit through.", "bundaberg_sparkling_guava_375mlx4.jpg","Drinks","Bundaberg"
"Ben & Jerry’s Ice Cream Tub Chocolate Chip Cookie Dough 458 Ml","Made in United States of America","classpath:/images/products/ben_and_jerrys_choco_chip_cookie_dough_458ml.jpg","Frozen","Ben&Jerry's"
"Ben & Jerry's Topped Tirumisu Ice Cream Tub 436ml","Ben & Jerry's Mascarpone ice cream with fudge swirls and shortbread pieces topped with espresso fudge chunks and chocolatey ganache. Layer after layer, this coffee-and-fudge delight delivers what you thought only an Italian restaurant could: a truly knock-your-socks-off tiramisu experience. Ben & Jerry’s Tiramisu Topped ice cream is a tiramisu sundae in a pint! Dig into the decadent chocolatey ganache topping, complete with espresso fudge chunks, then descend into the depths of mascarpone madness. Dodge shortbread piece after shortbread piece as you follow those fudge swirls into dessert nirvana. Maybe brush up on your Italian before you pop the lid because with every scoop, you’ll feel like you’re lounging in a Roman piazza, wiling away the afternoon sipping espresso and enjoying la Bella vita. The best part? No plane ticket required. Simply grab your favourite spoon and your adventure has begun with your new favourite frozen treat. Now that’s delizioso! Pair this flavour with your favourite espresso for an even more authentic international experience. And it gets even better! Ben & Jerry’s ice cream is made with non-GMO sourced ingredients, including Fairtrade Certified sugar, cocoa, coffee, and vanilla and eggs from cage-free hens. And it all comes in responsibly sourced packaging, for a frozen treat, you can feel good about.","classpath:/images/products/ben_and_jerrys_tirumisu_436ml.jpg","Frozen","Ben&Jerry's"
"Ben & Jerry’s Ice Cream Tub Chocolate Fudge Brownie 458 Ml","Ben & Jerry's Chocolate Fudge Brownie Ice Cream Tub features fudgy chunks of brownie goodness mixed into rich, dark chocolate ice cream. Sounds like a dream? At first, that’s all it was. Long ago, we were making brownie ice cream sandwiches for sale in grocery stores. Sometimes there would be broken pieces in the brownie delivery, and we’d nab them for flavour experiments. What would brownie pieces taste like in chocolate ice cream? Pretty good, as it turns out! That original experimental flavour eventually became the legendary ice cream concoction known as Chocolate Fudge Brownie. Meanwhile, Ben Cohen had met Bernie Glassman, the founder of Greyston Bakery, a Yonkers, New York, USA-based company with a mission to end poverty and give back to the community. Equally important, their brownies were just so darn good – after sampling some, Ben handwrote a note asking for two truckloads of brownie pieces. While we knew Greyston would be the ideal supplier for turning Chocolate Fudge Brownie into a flavour sold by the tub, getting the brownies to cooperate wasn’t easy. After about 25 batches of brownies and six months of work, the flavour finally debuted in 1991, and it’s been a hit ever since. Greyston Bakery, one of the largest social enterprises in the USA, continues to provide the brownies for this and all of our flavours. Like all Ben & Jerry’s ice creams, Chocolate Fudge Brownie is made with non-GMO-sourced ingredients and eggs from cage-free hens. Fairtrade-certified producers supply the cocoa and sugar, and our ice cream chills inside your freezer in responsibly sourced packaging. Why not also try Ben & Jerry’s Chocolate Chip Cookie Dough, surrounded with creamy vanilla ice cream, or The Tonight Dough caramel and chocolate ice cream?","ben_and_jerrys_choco_fudge_brownie_458ml.jpg","Frozen","Ben&Jerry's"

